file	frontend/components/exam/reading-exam-preview.tsx
component	ReadingExamPreview
start	996
end	5265

index	kind	start	end	lines	names	local_refs	all_refs
154	function	2046	2095	50	persistAnswer	accessToken,examData,isReviewMode,latestAnswersRef,markSyncError,markSyncSaved,pendingAnswerValuesRef,saveTimersRef,setActiveQuestionId,setAnswers,setShowGuestLoginModal,setSyncState	Error,JSON,accessToken,attemptApiBaseUrl,buildAttemptRequestHeaders,examData,fetchInternalUserApi,isReviewMode,latestAnswersRef,markSyncError,markSyncSaved,mode,pendingAnswerValuesRef,saveTimersRef,setActiveQuestionId,setAnswers,setShowGuestLoginModal,setSyncState,window
155	function	2097	2138	42	submitAttempt	accessToken,allowLeaveRef,clearAttemptBackup,examData,flushPendingAnswerSaves,flushPendingProgressSave,isSubmitting,router,setFullscreenDialogStage,setFullscreenExitCountdown,setIsCalculatingResults,setIsSubmitted,setIsSubmitting,updateActiveDialog,waitForNextPaint	Error,JSON,Promise,SubmitReason,accessToken,allowLeaveRef,attemptApiBaseUrl,buildAttemptRequestHeaders,clearAttemptBackup,document,emitNotificationRefresh,examData,fetchInternalUserApi,flushPendingAnswerSaves,flushPendingProgressSave,isSubmitting,router,setFullscreenDialogStage,setFullscreenExitCountdown,setIsCalculatingResults,setIsSubmitted,setIsSubmitting,undefined,updateActiveDialog,waitForNextPaint,window
156	function	2140	2158	19	updateStrictListeningTimeSnapshot	initialTimeSpentSeconds,isStrictListeningExam,setStrictListeningElapsedSeconds,strictListeningCompletedAudioRef,strictListeningPhase,strictListeningTransferLeft	LISTENING_TRANSFER_SECONDS,Math,Number,Object,initialTimeSpentSeconds,isStrictListeningExam,setStrictListeningElapsedSeconds,strictListeningCompletedAudioRef,strictListeningPhase,strictListeningTransferLeft
157	function	2160	2182	23	handleStrictListeningAudioEnded	isStrictListeningExam,previewSections,setStrictListeningAudioSectionId,setStrictListeningIsPlaying,setStrictListeningPhase,setStrictListeningTransferLeft,strictListeningCompletedAudioRef	LISTENING_TRANSFER_SECONDS,Math,Number,isStrictListeningExam,previewSections,setStrictListeningAudioSectionId,setStrictListeningIsPlaying,setStrictListeningPhase,setStrictListeningTransferLeft,strictListeningCompletedAudioRef
158	function	2184	2196	13	startStrictListeningAudio	listeningAudioRef,setStrictListeningPlaybackBlocked	listeningAudioRef,setStrictListeningPlaybackBlocked
159	function	2198	2205	8	confirmSubmit	examData,setIsSubmitted,submitAttempt,updateActiveDialog	examData,setIsSubmitted,submitAttempt,updateActiveDialog
160	function	2207	2214	8	recoverFullscreen	setFullscreenDialogStage,setFullscreenExitCountdown,updateActiveDialog	document,setFullscreenDialogStage,setFullscreenExitCountdown,updateActiveDialog
161	function	2216	2224	9	confirmFullscreenExit	ignoreNextFullscreenExitRef,submitAttempt	document,ignoreNextFullscreenExitRef,submitAttempt
162	function	2226	2237	12	selectSection	previewSections,questionPaneRef,readingPaneRef,setActiveQuestionId,setActiveSectionId,setShowPassageQuestionNav	previewSections,questionPaneRef,readingPaneRef,setActiveQuestionId,setActiveSectionId,setShowPassageQuestionNav
163	function	2239	2264	26	navigateToQuestion	examData,questionPaneRef,setActiveQuestionId,setActiveSectionId,setShowPassageQuestionNav	HTMLElement,document,examData,findSectionIdForQuestion,questionPaneRef,setActiveQuestionId,setActiveSectionId,setShowPassageQuestionNav,window
